Date,Site,Combined HYAR Max Activity,Discharge (cms),Min Daily Temp (degrees C)
5/10/2022,WB1,2,0.002,11.301
5/11/2022,WB1,3,0.002,11.645
5/12/2022,WB1,3,0.002,5.338
5/13/2022,WB1,3,0.002,8.727
5/14/2022,WB1,3,0.002,12.245
5/15/2022,WB1,3,0.002,14.948
5/16/2022,WB1,3,0.002,15.634
5/17/2022,WB1,2,0.002,15.077
5/18/2022,WB1,3,0.002,15.334
5/19/2022,WB1,3,0.002,15.248
5/20/2022,WB1,3,0.002,14.262
5/21/2022,WB1,3,0.002,13.918
5/22/2022,WB1,3,0.002,13.833
5/23/2022,WB1,3,0.002,14.004
5/24/2022,WB1,3,0.002,10.872
5/25/2022,WB1,3,0.002,13.918
5/26/2022,WB1,3,0.002,16.879
5/27/2022,WB1,3,0.002,17.265
5/28/2022,WB1,3,0.002,16.879
5/29/2022,WB1,3,0.002,16.149
5/30/2022,WB1,3,0.002,12.159
5/31/2022,WB1,3,0.002,12.975
6/1/2022,WB1,3,0.002,14.047
6/2/2022,WB1,3,0.002,14.691
6/3/2022,WB1,3,0.002,15.677
6/4/2022,WB1,3,0.002,15.720
6/5/2022,WB1,3,0.002,16.664
6/6/2022,WB1,3,0.002,17.822
6/7/2022,WB1,3,0.002,17.908
6/8/2022,WB1,3,0.002,19.796
6/9/2022,WB1,3,0.002,19.753
6/10/2022,WB1,3,0.002,21.340
6/11/2022,WB1,3,0.002,21.426
6/12/2022,WB1,3,0.002,22.155
6/13/2022,WB1,3,0.002,19.882
6/14/2022,WB1,3,0.002,18.680
6/15/2022,WB1,0,0.002,17.479
6/16/2022,WB1,NA,0.002,19.367
6/17/2022,WB1,NA,0.002,21.169
6/18/2022,WB1,NA,0.002,17.651
6/19/2022,WB1,NA,0.002,17.522
6/20/2022,WB1,NA,0.002,13.618
6/21/2022,WB1,NA,0.002,16.492
6/22/2022,WB1,NA,0.003,20.225
6/23/2022,WB1,NA,0.003,19.324
6/24/2022,WB1,NA,0.003,15.978
6/25/2022,WB1,NA,0.002,17.179
6/26/2022,WB1,NA,0.002,16.450
6/27/2022,WB1,NA,0.002,15.377
6/28/2022,WB1,NA,0.003,18.637
6/29/2022,WB1,NA,0.003,18.294
6/30/2022,WB1,NA,0.002,17.908
7/1/2022,WB1,NA,0.003,19.109
7/2/2022,WB1,NA,0.002,19.710
7/3/2022,WB1,NA,0.003,19.195
7/4/2022,WB1,NA,0.003,19.024
7/5/2022,WB1,NA,0.002,21.297
7/6/2022,WB1,NA,0.003,18.423
7/7/2022,WB1,NA,0.003,17.694
7/8/2022,WB1,NA,0.003,20.053
7/9/2022,WB1,NA,0.003,21.640
7/10/2022,WB1,NA,0.003,21.898
7/11/2022,WB1,NA,0.003,23.099
7/12/2022,WB1,NA,0.003,19.152
7/13/2022,WB1,NA,0.003,19.495
7/14/2022,WB1,NA,0.003,21.126
7/15/2022,WB1,NA,0.002,19.538
7/16/2022,WB1,NA,0.003,20.225
7/17/2022,WB1,NA,0.002,21.426
7/18/2022,WB1,NA,0.003,21.640
7/19/2022,WB1,NA,0.003,22.713
7/20/2022,WB1,NA,0.003,20.997
7/21/2022,WB1,NA,0.003,20.954
7/22/2022,WB1,NA,0.003,22.670
7/23/2022,WB1,NA,0.003,22.241
7/24/2022,WB1,NA,0.002,21.555
7/25/2022,WB1,NA,0.002,21.598
7/26/2022,WB1,NA,0.002,21.726
7/27/2022,WB1,NA,0.002,19.367
7/28/2022,WB1,NA,0.003,18.294
7/29/2022,WB1,NA,0.004,17.865
7/30/2022,WB1,NA,0.003,19.324
7/31/2022,WB1,NA,0.002,19.238
3/1/2022,WB2-Wet,NA,NA,NA
3/2/2022,WB2-Wet,NA,NA,NA
3/3/2022,WB2-Wet,NA,NA,NA
3/4/2022,WB2-Wet,NA,NA,NA
